,Url,Oferta,Cena,Oferta od,Poziom,Umeblowane,Rodzaj zabudowy,Powierzchnia,Liczba pokoi,Czynsz (dodatkowo),Czynsz - dodatkowo,Kaucja,Piętro,Liczba pięter,Materiał budynku,Okna,Ogrzewanie,Rok budowy,Stan wykończenia,Dostępne od,Obsługa zdalna
0,https://www.olx.pl/oferta/kawalerka-na-wynajem-baluty-CID3-IDFltL4.html#d82194bab2,Kawalerka na wynajem. Bałuty,1 040 zł,Osoby prywatnej,2,Tak,Blok,22 m²,Kawalerka,360 zł,,,,,,,,,,,
1,https://www.olx.pl/oferta/wakacje-30-rentaroom-pl-speak-eng-manufaktura-studio-ul-mackiewicza-CID3-IDCJTqe.html#d82194bab2,WAKACJE -30% RENTAROOM.PL Speak Eng Manufaktura studio ul.Mackiewicza,850 zł,Biuro / Deweloper,Parter,Tak,Blok,18 m²,Kawalerka,250 zł,,,,,,,,,,,
2,https://www.olx.pl/oferta/wynajme-mieszkanie-48m2-2-pokoje-lodz-ul-gandhiego-5-min-od-manufaktu-CID3-IDFkzum.html#d82194bab2,Wynajme mieszkanie 48m2 2 pokoje Łódź ul.Gandhiego 5 min od Manufaktu,1 500 zł,Osoby prywatnej,2,Tak,Blok,48 m²,2 pokoje,480 zł,,,,,,,,,,,
3,https://www.olx.pl/oferta/2-pokoje-w-stylu-loft-k-manufaktury-CID3-IDFienP.html#d82194bab2,2 pokoje w stylu loft k. Manufaktury,1 400 zł,Osoby prywatnej,4,Tak,Blok,35 m²,2 pokoje,450 zł,,,,,,,,,,,
4,https://www.olx.pl/oferta/przytulna-kawalerka-wysoki-standard-ul-uniwersytecka-CID3-IDF2IcZ.html#d82194bab2,Przytulna kawalerka. wysoki standard. ul. Uniwersytecka,1 300 zł,Osoby prywatnej,1,Tak,Blok,20 m²,Kawalerka,210 zł,,,,,,,,,,,
5,https://www.olx.pl/oferta/nowe-mieszkanie-48-m-kw-CID3-IDFeUd5.html#d82194bab2,Nowe mieszkanie 48 m.kw,1 900 zł,Osoby prywatnej,6,Tak,Blok,48 m²,2 pokoje,1 zł,,,,,,,,,,,
6,https://www.olx.pl/oferta/m3-obok-ul-narutowicza-juz-po-remoncie-nowa-nizsza-cena-na-wakacje-CID3-IDEHSR5.html#d82194bab2,M3 obok ul.Narutowicza/już po remoncie -nowa /niższa cena na wakacje,1 090 zł,Osoby prywatnej,4,Tak,Blok,39 m²,2 pokoje,390 zł,,,,,,,,,,,
7,https://www.olx.pl/oferta/kawalerka-do-wynajecia-widzew-CID3-IDD3eVU.html#d82194bab2,Kawalerka do wynajęcia Widzew,950 zł,Osoby prywatnej,2,Tak,Blok,32 m²,Kawalerka,440 zł,,,,,,,,,,,
8,https://www.olx.pl/oferta/pokoj-sporna-5-asp-umed-ul-rondo-solidarnosci-ponownie-wolny-CID3-IDyRjWK.html#d82194bab2,Pokój Sporna 5- ASP UMED UŁ Rondo Solidarności--ponownie wolny!,800 zł,Osoby prywatnej,3,Tak,Blok,76 m²,4 i więcej,50 zł,,,,,,,,,,,
9,https://www.olx.pl/oferta/mieskanie-dwupokojowe-z-kuchnia-w-srodmiesciu-CID3-IDEDyv2.html#d82194bab2,Mieskanie dwupokojowe z kuchnią w Śródmieściu,1 400 zł,Osoby prywatnej,2,Tak,Blok,47 m²,2 pokoje,400 zł,,,,,,,,,,,
10,https://www.olx.pl/oferta/mieszkanie-2-pokoje-38m2-tamka-4-CID3-IDE5VWj.html#d82194bab2,Mieszkanie 2 pokoje 38m2 Tamka 4,1 800 zł,Osoby prywatnej,4,Tak,Blok,38 m²,2 pokoje,1 zł,,,,,,,,,,,
11,https://www.olx.pl/oferta/kawalerka-na-wynajem-baluty-CID3-IDFltL4.html#d82194bab2,Kawalerka na wynajem. Bałuty,1 040 zł,Osoby prywatnej,2,Tak,Blok,22 m²,Kawalerka,360 zł,,,,,,,,,,,
12,https://www.olx.pl/oferta/wakacje-30-rentaroom-pl-speak-eng-manufaktura-studio-ul-mackiewicza-CID3-IDCJTqe.html#d82194bab2,WAKACJE -30% RENTAROOM.PL Speak Eng Manufaktura studio ul.Mackiewicza,850 zł,Biuro / Deweloper,Parter,Tak,Blok,18 m²,Kawalerka,250 zł,,,,,,,,,,,
13,https://www.olx.pl/oferta/wynajme-mieszkanie-48m2-2-pokoje-lodz-ul-gandhiego-5-min-od-manufaktu-CID3-IDFkzum.html#d82194bab2,Wynajme mieszkanie 48m2 2 pokoje Łódź ul.Gandhiego 5 min od Manufaktu,1 500 zł,Osoby prywatnej,2,Tak,Blok,48 m²,2 pokoje,480 zł,,,,,,,,,,,
14,https://www.olx.pl/oferta/2-pokoje-w-stylu-loft-k-manufaktury-CID3-IDFienP.html#d82194bab2,2 pokoje w stylu loft k. Manufaktury,1 400 zł,Osoby prywatnej,4,Tak,Blok,35 m²,2 pokoje,450 zł,,,,,,,,,,,
15,https://www.olx.pl/oferta/przytulna-kawalerka-wysoki-standard-ul-uniwersytecka-CID3-IDF2IcZ.html#d82194bab2,Przytulna kawalerka. wysoki standard. ul. Uniwersytecka,1 300 zł,Osoby prywatnej,1,Tak,Blok,20 m²,Kawalerka,210 zł,,,,,,,,,,,
16,https://www.olx.pl/oferta/nowe-mieszkanie-48-m-kw-CID3-IDFeUd5.html#d82194bab2,Nowe mieszkanie 48 m.kw,1 900 zł,Osoby prywatnej,6,Tak,Blok,48 m²,2 pokoje,1 zł,,,,,,,,,,,
17,https://www.olx.pl/oferta/m3-obok-ul-narutowicza-juz-po-remoncie-nowa-nizsza-cena-na-wakacje-CID3-IDEHSR5.html#d82194bab2,M3 obok ul.Narutowicza/już po remoncie -nowa /niższa cena na wakacje,1 090 zł,Osoby prywatnej,4,Tak,Blok,39 m²,2 pokoje,390 zł,,,,,,,,,,,
18,https://www.olx.pl/oferta/kawalerka-do-wynajecia-widzew-CID3-IDD3eVU.html#d82194bab2,Kawalerka do wynajęcia Widzew,950 zł,Osoby prywatnej,2,Tak,Blok,32 m²,Kawalerka,440 zł,,,,,,,,,,,
