,Url,Oferta,Cena,Umeblowane,Powierzchnia,Liczba pokoi
0,https://www.olx.pl/oferta/kawalerka-na-wynajem-baluty-CID3-IDFltL4.html#d82194bab2,Kawalerka na wynajem. Bałuty,1400,1,22.0,1
1,https://www.olx.pl/oferta/wakacje-30-rentaroom-pl-speak-eng-manufaktura-studio-ul-mackiewicza-CID3-IDCJTqe.html#d82194bab2,WAKACJE -30% RENTAROOM.PL Speak Eng Manufaktura studio ul.Mackiewicza,1100,1,18.0,1
2,https://www.olx.pl/oferta/wynajme-mieszkanie-48m2-2-pokoje-lodz-ul-gandhiego-5-min-od-manufaktu-CID3-IDFkzum.html#d82194bab2,Wynajme mieszkanie 48m2 2 pokoje Łódź ul.Gandhiego 5 min od Manufaktu,1980,1,48.0,2
3,https://www.olx.pl/oferta/2-pokoje-w-stylu-loft-k-manufaktury-CID3-IDFienP.html#d82194bab2,2 pokoje w stylu loft k. Manufaktury,1850,1,35.0,2
4,https://www.olx.pl/oferta/przytulna-kawalerka-wysoki-standard-ul-uniwersytecka-CID3-IDF2IcZ.html#d82194bab2,Przytulna kawalerka. wysoki standard. ul. Uniwersytecka,1510,1,20.0,1
5,https://www.olx.pl/oferta/nowe-mieszkanie-48-m-kw-CID3-IDFeUd5.html#d82194bab2,Nowe mieszkanie 48 m.kw,1901,1,48.0,2
6,https://www.olx.pl/oferta/m3-obok-ul-narutowicza-juz-po-remoncie-nowa-nizsza-cena-na-wakacje-CID3-IDEHSR5.html#d82194bab2,M3 obok ul.Narutowicza/już po remoncie -nowa /niższa cena na wakacje,1480,1,39.0,2
7,https://www.olx.pl/oferta/kawalerka-do-wynajecia-widzew-CID3-IDD3eVU.html#d82194bab2,Kawalerka do wynajęcia Widzew,1390,1,32.0,1
8,https://www.olx.pl/oferta/pokoj-sporna-5-asp-umed-ul-rondo-solidarnosci-ponownie-wolny-CID3-IDyRjWK.html#d82194bab2,Pokój Sporna 5- ASP UMED UŁ Rondo Solidarności--ponownie wolny!,850,1,76.0,4
9,https://www.olx.pl/oferta/mieskanie-dwupokojowe-z-kuchnia-w-srodmiesciu-CID3-IDEDyv2.html#d82194bab2,Mieskanie dwupokojowe z kuchnią w Śródmieściu,1800,1,47.0,2
10,https://www.olx.pl/oferta/mieszkanie-2-pokoje-38m2-tamka-4-CID3-IDE5VWj.html#d82194bab2,Mieszkanie 2 pokoje 38m2 Tamka 4,1801,1,38.0,2
11,https://www.olx.pl/oferta/kawalerka-na-wynajem-baluty-CID3-IDFltL4.html#d82194bab2,Kawalerka na wynajem. Bałuty,1400,1,22.0,1
12,https://www.olx.pl/oferta/wakacje-30-rentaroom-pl-speak-eng-manufaktura-studio-ul-mackiewicza-CID3-IDCJTqe.html#d82194bab2,WAKACJE -30% RENTAROOM.PL Speak Eng Manufaktura studio ul.Mackiewicza,1100,1,18.0,1
13,https://www.olx.pl/oferta/wynajme-mieszkanie-48m2-2-pokoje-lodz-ul-gandhiego-5-min-od-manufaktu-CID3-IDFkzum.html#d82194bab2,Wynajme mieszkanie 48m2 2 pokoje Łódź ul.Gandhiego 5 min od Manufaktu,1980,1,48.0,2
14,https://www.olx.pl/oferta/2-pokoje-w-stylu-loft-k-manufaktury-CID3-IDFienP.html#d82194bab2,2 pokoje w stylu loft k. Manufaktury,1850,1,35.0,2
15,https://www.olx.pl/oferta/przytulna-kawalerka-wysoki-standard-ul-uniwersytecka-CID3-IDF2IcZ.html#d82194bab2,Przytulna kawalerka. wysoki standard. ul. Uniwersytecka,1510,1,20.0,1
16,https://www.olx.pl/oferta/nowe-mieszkanie-48-m-kw-CID3-IDFeUd5.html#d82194bab2,Nowe mieszkanie 48 m.kw,1901,1,48.0,2
